option,implementation,n,block_size,threads,runs,time_s_avg,gflops_avg,joules_avg,watts_avg,speedup,efficiency
1,sequential,1024,,,3,0.098773,7.260283333333334,3.293439333333333,33.239869,,
1,sequential,2048,,,3,1.9580333333333335,2.9352700000000005,47.062080333333334,23.946987333333336,,
1,sequential,3072,,,3,7.59143,2.5461533333333333,154.95436866666668,20.409890333333333,,
1,sequential,4096,,,3,18.987099999999998,2.4128533333333335,379.687971,19.997114999999997,,
1,sequential,5120,,,3,40.525666666666666,2.209106666666667,899.495231,22.17525466666667,,
1,sequential,6144,,,3,69.93900000000001,2.210926666666667,1538.302385,21.993888333333334,,
1,sequential,7168,,,3,115.42466666666667,2.1271999999999998,2654.783663,22.999441666666666,,
1,sequential,8192,,,3,167.36799999999997,2.1927366666666663,3703.048895666667,22.071658333333332,,
2,block,1024,32,,3,0.08130423333333334,8.93377,3.188891333333333,37.611078666666664,1.2148567909748036,
2,block,1024,64,,3,0.08347493333333333,8.58062,2.910702666666667,34.756970333333335,1.1832653954400683,
2,block,1024,128,,3,0.09409896666666666,7.607843333333332,3.7101100000000002,39.423301,1.0496714629172337,
2,block,2048,32,,3,0.6937163333333333,8.255479999999999,23.72741566666667,34.202573,2.8225273634900727,
2,block,2048,64,,3,0.692435,8.27061,24.929323999999998,36.00740733333333,2.827750378495214,
2,block,2048,128,,3,0.6968766666666667,8.219656666666666,23.477179333333336,33.671641666666666,2.8097272114147414,
2,block,3072,32,,3,2.2916900000000004,8.437503333333334,85.19941566666667,37.123658,3.312590271808141,
2,block,3072,64,,3,2.2886566666666663,8.44755,94.23072766666667,41.119948666666666,3.3169807033820424,
2,block,3072,128,,3,2.243863333333333,8.61436,77.03106033333334,34.326338,3.383196243383807,
2,block,4096,32,,3,5.162726666666667,8.874003333333333,171.13770999999997,33.149165,3.6777271441834993,
2,block,4096,64,,3,5.074426666666667,9.02921,167.40059933333333,32.962772,3.7417232028840037,
2,block,4096,128,,3,5.1095966666666675,8.967186666666668,177.925979,34.78659666666667,3.715968448912144,
2,block,5120,32,,3,10.03698,8.91605,344.088982,34.256655,4.037635490622345,
2,block,5120,64,,3,9.52754,9.3927,277.276752,29.09414,4.253528892732716,
2,block,5120,128,,3,9.459346666666667,9.463396666666666,273.6740743333333,28.892287,4.284192988663064,
2,block,6144,32,,3,16.558733333333336,9.338009999999999,502.354458,30.337620666666666,4.22369263349451,
2,block,6144,64,,3,15.641433333333334,9.885223333333334,417.3511996666666,26.681856,4.4713932866340045,
2,block,6144,128,,3,15.511233333333331,9.968213333333333,411.9917556666667,26.560821333333333,4.508925789266704,
2,block,7168,32,,3,24.76393333333333,9.914779999999999,665.0008473333334,26.85360533333333,4.660998925857228,
2,block,7168,64,,3,24.517433333333333,10.015183333333333,667.8550193333334,27.234928666666665,4.707860937047516,
2,block,7168,128,,3,24.393533333333334,10.065366666666668,647.8051373333334,26.556678333333334,4.731773174857818,
2,block,8192,32,,3,37.883900000000004,9.675986666666669,1089.8390963333334,28.753291,4.4179189576574736,
2,block,8192,64,,3,38.238433333333326,9.588239999999999,1125.3917366666667,29.412008,4.37695756363798,
2,block,8192,128,,3,39.43956666666667,9.299399999999999,1129.494923,28.59877633333333,4.243657173380031,
3,openmp,1024,64,4,3,0.124295,5.760000000000001,5.624465333333333,45.25168633333334,0.7946659157649141,0.19866647894122852
3,openmp,1024,64,8,3,0.0854143,8.441220000000001,5.499451333333333,64.36522633333334,1.1563988699784462,0.14454985874730578
3,openmp,1024,64,16,3,0.1449267333333333,5.292446666666667,8.271051,57.236343000000005,0.6815374757176156,0.042596092232350974
3,openmp,2048,64,4,3,0.5985253333333334,9.570006666666666,25.363643,42.356691000000005,3.2714293352105397,0.8178573338026349
3,openmp,2048,64,8,3,0.36871933333333334,15.5692,20.39398033333333,55.342789,5.310362534104532,0.6637953167630665
3,openmp,2048,64,16,3,0.4599166666666667,12.562066666666666,24.378947333333333,53.04757599999999,4.2573654647581085,0.2660853415473818
3,openmp,3072,64,4,3,1.5578,12.4074,59.73161666666667,38.339945,4.87317370650918,1.218293426627295
3,openmp,3072,64,8,3,0.9036986666666667,21.395799999999998,48.25182833333334,53.40046,8.400399690752375,1.0500499613440468
3,openmp,3072,64,16,3,1.073495,18.10246666666667,54.03271800000001,50.383160000000004,7.0716957228491975,0.44198098267807484
3,openmp,4096,64,4,3,3.1425099999999997,14.5792,114.284688,36.365030999999995,6.042017368282042,1.5105043420705104
3,openmp,4096,64,8,3,1.7874366666666666,25.636566666666667,91.07998633333334,50.95345666666666,10.622530215522787,1.3278162769403483
3,openmp,4096,64,16,3,1.9514733333333336,23.547700000000003,95.40837033333332,48.90052966666667,9.729623088196607,0.608101443012288
3,openmp,5120,64,4,3,5.5210066666666675,16.2086,210.34503833333335,38.07711366666666,7.340267656502255,1.8350669141255638
3,openmp,5120,64,8,3,3.3725633333333334,26.5799,170.86477533333334,50.65959466666666,12.01628039601925,1.5020350495024062
3,openmp,5120,64,16,3,3.7834733333333332,11.510533333333333,325.4131236666667,41.766949333333336,10.71123359311814,0.6694520995698837
3,openmp,6144,64,4,3,9.300206666666668,16.64956666666667,327.96878233333337,35.261379,7.520155466079248,1.880038866519812
3,openmp,6144,64,8,3,5.5535,27.8513,214.13351366666666,38.56402633333334,12.593679661474749,1.5742099576843436
3,openmp,6144,64,16,3,5.33693,28.973200000000002,206.4494216666667,38.68345433333334,13.1047250010774,0.8190453125673375
3,openmp,7168,64,4,3,13.223800000000002,18.569866666666666,479.64890633333334,36.27107266666667,8.728555079982051,2.182138769995513
3,openmp,7168,64,8,3,8.214369999999999,29.8916,311.12714466666665,37.876052666666666,14.051554369558065,1.7564442961947582
